Type,Addr,Register Description
U16,1,Bit #0 – (E)EPROM checksum failure
U16,2,Mass flow rate (Scaled Int)
U16,3,Density (Scaled Int)
U16,4,Temperature (Scaled Int)
U16,5,Volume flow rate (Scaled Int)
U16,6,Viscosity (Scaled Int)
U16,7,Pressure (Scaled Int)
U16,8,Mass total (Scaled Int)  (Writing to this register clears this total) (Read only for RFT9739)
U16,9,Volume total (Scaled Int) (Writing to this register clears this total)  (Read only for RFT9739)
U16,10,Mass inventory (Scaled Int) (Writing to this register clears all inventories)  (Read only for RFT9739)
U16,11,Volume inventory (Scaled Int)  (Writing to this register clears all inventories)  (Read only for RFT9739)
U16,12,Primary milliamp output variable (PV)
U16,13,Secondary milliamp output variable (SV)
U16,14,Frequency/pulse #1 output variable (TV)
U16,15,Quaternary variable (QV)
U16,15,RFT9739 control output variable
U16,16,"Transmitter software revision – (xxxx.x format, e.g.,  141 means rev 14.1)"
U16,17,"Flow direction  (see flow direction codes)  Gen5- Write Only, if written will attempt to initialize all the Gen5 specific direction registers accordingly"
U16,18,Maximum integer
U16,19,Mass flow offset
U16,20,Density offset
U16,21,Temperature offset
U16,22,Volume flow offset
U16,23,Viscosity offset
U16,24,Pressure Offset
U16,25,Mass total offset
U16,26,Volume total offset
U16,27,Mass inventory offset
U16,28,Volume inventory offset
U16,29,Mass flow scale factor
U16,30,Density scale factor
U16,31,Temperature scale factor
U16,32,Volume flow scale factor
U16,33,Viscosity scale factor
U16,34,Pressure Scale Factor
U16,35,Mass total scale factor
U16,36,Volume total scale factor
U16,37,Mass inventory scale factor
U16,38,Volume inventory scale factor
U16,39,Standard or special mass flow rate unit
U16,40,Density unit
U16,41,Temperature unit
U16,42,Standard or special volume flow rate unit
U16,43,Viscosity unit
U16,44,Pressure unit
U16,45,Standard or special mass total/inv unit (derived from the mass rate unit)
U16,46,Standard or special volume total/inv unit (derived from the vol. rate unit)
U16,47,Hart Slave Address
U32,48,Final assembly number       NOTE: HART supports only the lower three bytes and
U8,50,Fixed Date Low order byte: day
U16,51,Fixed Date High order byte: month
A8,52,Special mass flow unit string
A8,56,Special mass total (or inventory) unit string
A8,60,Special volume flow unit string
A8,64,Special volume total (or inventory) unit string
A8,68,Tag
A16,72,Flow calibration factor
A16,80,Temperature calibration slope
A16,88,Viscosity calibration factor
A16,96,Description
A18,104,User message
U16,120,Device type code
U16,121,Manufacturer I.D.
U24,122,HART device I.D. number
U16,124,Digital Communication Fault Action code (See dig. comm.. Fault action table)
U16,124,RFT9739 fault code
U16,125,Bit #0 – Primary mA output saturated (420 bit 0)
U16,126,Bit #0 – Burst mode enabled (421 bit 0)
U32,127,Sensor serial number       NOTE: HART supports only the lower three bytes and
U16,129,Flange type
U16,130,Sensor material
U16,131,Liner material
U16,132,Base mass unit for special mass unit
U16,133,Base time unit for special mass unit
U16,134,Base volume unit for special volume unit
U16,135,Base time unit for special volume unit
U16,136,"Maximum zeroing time (unlike the 9739, in units of seconds)"
U16,137,Event 1 variable assignment
U16,138,Event 2 variable assignment
U16,139,Event 1 type (high=1/low=2)
U16,140,Event 2 type (high=1/low=2)
F32,141,Slug duration (seconds) – How long flow stays at LMV before going to 0
F32,143,Primary mA output fixed current (milliamps)
F32,145,Secondary mA output fixed current (milliamps)
F32,147,Fixed frequency (Hertz) (Survives a power cycle on 700 only)
F32,149,Low Density Cutoff (High Density Cutoff for Orion Gas Density)
F32,151,"Value of Temperature (degC) associated with Slope/Offset cals (coils 15,16)"
F32,153,Line-condition viscosity of fluid used for viscosity calibration
F32,155,Density 1 (g/cc)
F32,157,Density 2 (g/cc)
F32,157,RFT9739 density for third-point density calibration (g/cc)
F32,159,Density calibration constant 1 (msec)
F32,161,Density calibration constant 2 (msec)
F32,163,Density temperature coefficient
F32,165,High mass flow limit of sensor
F32,167,High temperature limit of sensor
F32,169,High density limit of sensor
F32,171,High volume flow limit of sensor
F32,173,Low mass flow limit of sensor
F32,175,Low temperature limit of sensor
F32,177,Low density limit of sensor
F32,179,Low volume flow limit of sensor
F32,181,Mass flow minimum range
F32,183,Temperature minimum range
F32,185,Density minimum range
F32,187,Volume flow minimum range
F32,189,Flow rate internal damping (seconds)
F32,191,Temperature internal damping (seconds)
F32,193,Density internal damping (seconds)
F32,195,Mass flow cutoff for digital outputs and internal totals
F32,197,Volume flow cutoff for digital outputs and internal totals
F32,199,High density limit (g/cc)
F32,201,Low density limit (g/cc)
F32,203,Primary mA output present current (milliamps)
F32,205,Added damping on primary mA output (seconds)
F32,207,"Flow cutoff for primary mA output -- Mass and Volume Flow, Velocity for Orion Tube Density, Standard Volume Flow, Net Mass Flow, and Net Volume Flow for any transmitter with these variables available, and gas standard volume flow whenver it is enabled."
F32,209,Primary variable at 20 mA
F32,211,Primary variable at 4 mA  (12mA for 2200)
F32,213,Secondary mA output present current (milliamps)
F32,215,Added damping on secondary mA output (seconds) 
F32,217,"Flow cutoff for secondary mA output   -- Mass and Volume Flow, Velocity for Orion Tube Density, Standard Volume Flow, Net Mass Flow, and Net Volume Flow for any transmitter with these variables available, and gas standard volume flow whenver it is enabled."
F32,219,Secondary variable at 20 mA 
F32,221,Secondary variable at 4 mA (or 0 mA for RFT9639)
F32,223,Frequency Output frequency (Hz) or number of pulses
F32,225,Frequency Output flow rate or total
F32,227,"Frequency output maximum pulse width (milliseconds, 0=square wave)"
F32,229,Present output frequency (Hertz)
F32,231,Standard deviation of auto zero  (units of uSec)
F32,233,Present flow signal offset at zero flow (mechanical zero)  (units of uSec)
F32,235,Failed DensCal/TempCal/ZeroCal Value (valid only if last Cal failed)
F32,235,Flow meter zeroing standard deviation limit
F32,237,Special mass unit conversion factor
F32,239,Special volume unit conversion factor
F32,241,Event 1 set-point (units follow event variable assignment)
F32,243,Event 2 set-point (units follow event variable assignment)
F32,245,"1 – (E)EPROM checksum failure (including Core, if applicable) (reg. 1 bit 1)"
F32,247,Mass flow rate
F32,249,Density
F32,251,Temperature
F32,253,Volume flow rate
F32,255,Viscosity
F32,255,Undefined
F32,257,Differential Pressure
F32,257,(Internally Derived) Pressure
F32,259,Mass total
F32,261,Volume total
F32,263,Mass inventory
F32,265,Volume inventory
F32,267,Pressure correction factor for flow
F32,269,Pressure correction factor for density
F32,271,Flow calibration pressure
F32,273,maI Source value at 4 mA
F32,275,maI Source value at 20 mA
F32,277,Density Value for FD calibration 
F32,277,Constant for third-point density calibration (Version 2 to 3.5 RFT9739)
F32,279,Mass Rate Factor
F32,281,Volume Rate Factor
F32,283,Density Factor
F32,285,Raw Tube Frequency (Hz) 
F32,287,Left Pickoff Voltage (Volts) (Single piezo for Orion forks)
F32,289,Right Pickoff Voltage (Volts)
F32,291,"Drive Gain  (Volts for 9739 and 3000 v5.x and prior, Percent for all others)"
F32,293,Live Zero (MassFlow)
U16,295,Security event configuration register  [Gen5 Sdcard diagnostic register]
U16,296,Security event calibration register
U16,297,Mass Flow Live Zero Flow
A8,298,Polling Tag #1 (pressure input host for 9739)
U16,302,Polling Control Code #1 (refer to polling control code table)
U16,302,Pressure value receiving method (refer to pressure input codes table)
F32,303,Density “FD” calibration
F64,305,Most significant word for binary mass total
F64,309,Most significant word for binary volume total
U16,313,"MODBUS Slave address (limited to 1-15,32-47,64-79, or 96-110 unless ASCII disabled for 700 and Pegasus products)"
U16,314,Last Measured Value Fault Timeout (seconds)
U32,315,Core Processor Firmware Checksum
F32,317,Flow Rate Switch Hysteresis 
F32,319,API Reference Temp 
F32,323,"API Thermal Expansion Coeff (TEC, used for even tables)"
F32,325,Temperature/Pressure-corrected density
F32,327,Vapor pressure at reference temperature
F32,329,Combined Temperature and Pressure Correction Factor (CTPL)
F32,331,Temperature/Pressure‑corrected volumetric flow
F32,333,Temperature/Pressure‑corrected volumetric total
F32,335,Temperature/Pressure‑corrected volumetric inventory
F32,337,Weighted Average Batch Observed Density
F32,339,Weighted Average Batch Observed Temperature
F32,341,Weighted Average Batch Temp-Corrected Density (Bunkering)
F32,343,2nd Mass total
F32,345,2nd Volume total
F32,347,2nd GSV  total
U16,349,2nd Flow direction  (see flow direction codes)
F32,343,GVF Hi/Lo Threshold
F32,345,Line Density (Net) Oil -- fixed SGU units
F32,347,Line Density (Net) Oil -- fixed API units
F32,349,Volume Total - Line - No TBR
U16,351,API 2540 CTL Table Type (see CTL Code Table)
U16,352,"Configuration Change Counter incremented for all config writes through any interface (i.e. HART, Modbus, Local Display, etc).  Only 0 can be written (to clear it)"
U16,353,Host Locked Status - 1 indicates that host cannot write to configuration data
U16,354,User-Volume-Total Units
F32,355,mAI Actual current being measured
F32,357,"Primary mAO Lower Point ( 0 for 0-20 mA operation, 4 for 4-20 )"
F32,359,"Secondary mAO Lower Point ( 0 for 0-20 mA operation, 4 for 4-20 )"
U16,361,Sensor Index (Service Port)
U16,362,Sensor Index (RS485 Port)
U16,363,Switch Status register-Four numbers for two switches all status 
U16,364,Drive Switch 
U16,365,"TimeStamp  (200 uSec, rolls over every 13.1072 Sec)"
U16,366,"DSP Basic Calculation Update Rate (Hz, 20 or 100 Hz)"
F32,367,DeltaT  (Secs)
F32,369,Tube Period  (Secs)
F32,371,Temperature – “Line RTD” (Std RTD on all sensors)  (degC)
F32,373,Temperature – “Case/Meter RTD” (Extra RTD on T-Series)   (degC)
F32,375,Drive target ( D/A Counts 0..1023 (lo) or 16384-17405 (hi) )
F32,377,Drive DAC counts ( D/A Counts 0..1023 (lo) or 16384-17405 (hi)  )
F32,379,LPO filtered amplitude  (Volts)
F32,381,RPO filtered amplitude  (Volts)
F32,383,Board Temperature (degC)
